transaction_id,customer_id,amount,status,event_date,last_login,amount_usd,is_zombie,is_failed_payment
1,1102,49.99 USD,Refunded,2023-03-04,2023-01-24,49.99,False,False
2,1435,49.99 USD,Success,2023-02-17,2023-09-10,49.99,False,False
3,1348,€18.50,Success,2023-03-28,2023-08-18,19.98,False,False
4,1270,49.99 USD,Refunded,2023-10-31,2000-01-01,49.99,True,False
5,1106,$49.99,Success,2023-03-02,2023-08-09,49.99,False,False
6,1071,$49.99,Success,2023-11-30,2023-02-05,49.99,False,False
7,1188,$19.99,Failed,2023-10-01,2023-01-02,19.99,False,True
8,1020,$19.99,Success,2023-10-11,2023-12-27,19.99,False,False
9,1102,$19.99,Success,2023-03-21,2023-10-01,19.99,False,False
10,1121,,Refunded,2023-06-29,2023-06-26,0.0,False,False
11,1466,$49.99,Success,2023-09-29,2023-09-21,49.99,False,False
12,1214,$49.99,Success,2023-03-18,2023-07-05,49.99,False,False
13,1330,$49.99,Success,2023-08-09,2000-01-01,49.99,True,False
14,1458,€18.50,Success,2023-10-09,2023-10-06,19.98,False,False
15,1087,$49.99,Success,2023-01-28,2000-01-01,49.99,True,False
16,1372,€18.50,Success,2023-12-27,2023-07-17,19.98,False,False
17,1099,$19.99,Success,2023-03-18,2023-12-15,19.99,False,False
18,1359,$19.99,Success,2023-06-13,2023-11-01,19.99,False,False
19,1151,49.99 USD,Success,2023-01-09,2023-03-05,49.99,False,False
20,1130,$19.99,Success,2023-06-24,2023-10-17,19.99,False,False
21,1149,49.99 USD,Success,2023-11-03,2023-01-18,49.99,False,False
22,1308,19.99 USD,Success,2023-03-17,2023-03-05,19.99,False,False
23,1257,19.99 USD,Success,2023-09-02,2023-12-28,19.99,False,False
24,1343,€18.50,Failed,2023-05-02,2023-11-26,19.98,False,True
25,1491,49.99 USD,Failed,2023-07-04,2023-12-24,49.99,False,True
26,1413,€18.50,Refunded,2023-02-01,2000-01-01,19.98,True,False
27,1293,€18.50,Success,2023-09-07,2023-01-17,19.98,False,False
28,1385,19.99 USD,Success,2023-02-26,2023-05-21,19.99,False,False
29,1191,49.99 USD,Success,2023-11-06,2023-11-04,49.99,False,False
30,1443,19.99 USD,Failed,2023-05-24,2023-11-16,19.99,False,True
31,1276,€18.50,Refunded,2023-11-14,2023-09-02,19.98,False,False
32,1160,49.99 USD,Success,2023-03-25,2023-10-17,49.99,False,False
33,1459,€18.50,Success,2023-02-25,2023-12-17,19.98,False,False
34,1313,$49.99,Failed,2023-10-06,2023-03-28,49.99,False,True
35,1021,49.99 USD,Refunded,2023-09-30,2023-07-18,49.99,False,False
36,1252,49.99 USD,Success,2023-06-15,2000-01-01,49.99,True,False
37,1235,€18.50,Failed,2023-06-07,2023-06-10,19.98,False,True
38,1344,$49.99,Refunded,2023-09-06,2023-05-20,49.99,False,False
39,1048,€18.50,Success,2023-07-05,2000-01-01,19.98,True,False
40,1474,19.99 USD,Success,2023-03-19,2023-01-19,19.99,False,False
41,1058,€18.50,Refunded,2023-01-22,2023-11-26,19.98,False,False
42,1169,49.99 USD,Refunded,2023-04-18,2023-02-19,49.99,False,False
43,1475,19.99 USD,Success,2023-09-30,2023-08-20,19.99,False,False
44,1187,19.99 USD,Failed,2023-09-09,2023-10-22,19.99,False,True
45,1463,19.99 USD,Success,2023-01-15,2023-01-12,19.99,False,False
46,1270,€18.50,Success,2023-10-31,2023-12-01,19.98,False,False
47,1189,$19.99,Refunded,2023-06-09,2023-01-15,19.99,False,False
48,1445,€18.50,Success,2023-07-24,2023-01-28,19.98,False,False
49,1174,$19.99,Failed,2023-04-23,2023-10-19,19.99,False,True
50,1445,$19.99,Success,2023-06-17,2000-01-01,19.99,True,False
51,1050,$19.99,Success,2023-12-19,2023-09-07,19.99,False,False
52,1363,19.99 USD,Success,2023-09-10,2023-04-08,19.99,False,False
53,1054,$49.99,Success,2023-07-05,2023-10-30,49.99,False,False
54,1243,19.99 USD,Success,2023-12-13,2000-01-01,19.99,True,False
55,1319,19.99 USD,Success,2023-08-15,2023-02-08,19.99,False,False
56,1130,49.99 USD,Success,2023-01-16,2023-02-07,49.99,False,False
57,1484,49.99 USD,Success,2023-06-05,2023-10-27,49.99,False,False
58,1306,,Success,2023-12-20,2023-06-28,0.0,False,False
59,1134,19.99 USD,Success,2023-04-21,2023-04-07,19.99,False,False
60,1020,$19.99,Refunded,2023-01-01,2023-10-09,19.99,False,False
61,1328,,Success,2023-02-10,2000-01-01,0.0,True,False
62,1166,$49.99,Success,2023-02-17,2023-06-13,49.99,False,False
63,1273,€18.50,Success,2023-04-18,2023-04-07,19.98,False,False
64,1387,$19.99,Success,2023-06-10,2023-09-14,19.99,False,False
65,1088,$49.99,Refunded,2023-06-10,2023-11-05,49.99,False,False
66,1315,€18.50,Success,2023-12-25,2023-09-19,19.98,False,False
67,1013,€18.50,Success,2023-05-08,2023-10-20,19.98,False,False
68,1241,$19.99,Success,2023-07-29,2023-09-15,19.99,False,False
69,1264,$19.99,Success,2023-05-31,2023-09-06,19.99,False,False
70,1345,€18.50,Refunded,2023-09-12,2023-09-02,19.98,False,False
71,1052,€18.50,Success,2023-08-06,2000-01-01,19.98,True,False
72,1385,$19.99,Success,2023-01-30,2023-05-03,19.99,False,False
73,1339,€18.50,Refunded,2023-02-14,2023-11-21,19.98,False,False
