transaction_id,customer_id,amount,status,event_date,last_login
1,1102,49.99 USD,Refunded,2023-03-04,2023-01-24
2,1435,49.99 USD,Success,2023-02-17,2023-09-10
3,1348,€18.50,Success,2023-03-28,2023-08-18
4,1270,49.99 USD,Refunded,2023-10-31,
5,1106,$49.99,Success,2023-03-02,2023-08-09
6,1071,$49.99,Success,2023-11-30,2023-02-05
7,1188,$19.99,Failed,2023-10-01,2023-01-02
8,1020,$19.99,Success,2023-10-11,2023-12-27
9,1102,$19.99,Success,2023-03-21,2023-10-01
10,1121,,Refunded,2023-06-29,2023-06-26
11,1466,$49.99,Success,2023-09-29,2023-09-21
12,1214,$49.99,Success,2023-03-18,2023-07-05
13,1330,$49.99,Success,2023-08-09,
14,1458,€18.50,Success,2023-10-09,2023-10-06
15,1087,$49.99,Success,2023-01-28,
16,1372,€18.50,Success,2023-12-27,2023-07-17
17,1099,$19.99,Success,2023-03-18,2023-12-15
18,1359,$19.99,Success,2023-06-13,2023-11-01
19,1151,49.99 USD,Success,2023-01-09,2023-03-05
20,1130,$19.99,Success,2023-06-24,2023-10-17
21,1149,49.99 USD,Success,2023-11-03,2023-01-18
22,1308,19.99 USD,Success,2023-03-17,2023-03-05
23,1257,19.99 USD,Success,2023-09-02,2023-12-28
24,1343,€18.50,Failed,2023-05-02,2023-11-26
25,1491,49.99 USD,Failed,2023-07-04,2023-12-24
26,1413,€18.50,Refunded,2023-02-01,
27,1293,€18.50,Success,2023-09-07,2023-01-17
28,1385,19.99 USD,Success,2023-02-26,2023-05-21
29,1191,49.99 USD,Success,2023-11-06,2023-11-04
30,1443,19.99 USD,Failed,2023-05-24,2023-11-16
31,1276,€18.50,Refunded,2023-11-14,2023-09-02
32,1160,49.99 USD,Success,2023-03-25,2023-10-17
33,1459,€18.50,Success,2023-02-25,2023-12-17
34,1313,$49.99,Failed,2023-10-06,2023-03-28
35,1021,49.99 USD,Refunded,2023-09-30,2023-07-18
36,1252,49.99 USD,Success,2023-06-15,
37,1235,€18.50,Failed,2023-06-07,2023-06-10
38,1344,$49.99,Refunded,2023-09-06,2023-05-20
39,1048,€18.50,Success,2023-07-05,
